description,country,variety
White flower lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery sweet flavors of peach and melon mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily with a short finish. Chardonnay fills out the blend.,Chile,Viognier-Chardonnay
A berry aroma comes with cola and herb notes. The palate is tangy and racy and it delivers raspberry and plum flavors with a modest finish.,Chile,Merlot
This is much different than Casa Silva's 2009 Petit Verdot which was tasted in the same flight. The '08 is more hard spicy and tarry with a leafy herbal aroma plus some grittiness. The palate feels snappy with a can't-miss saltiness. The finish is long in length but short on fruit with a raw feel.,Chile,Petit Verdot
Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate this is light and juicy with snappy lean flavors of red fruit and dry spice. The finish is dry and oaky.,Chile,Pinot Noir
Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup while this finishes with a forced woody flavor.,Chile,Carmenère
A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty while this holds form on a high-acid finish.,Chile,Chardonnay
This blend of Cabernet Sauvignon Syrah and Merlot opens with blackened aromas of charred oak and creosote but it quickly sheds that oak-heavy character to display toasty flavors of olives herbs and berry fruits. All together this is a classic Chilean red blend with fine tannins and patented lightly herbal balsamic flavors. Drink through 2020.,Chile,Red Blend
Dry briary aromas of field brush black olive herbs berry fruits and saucy tomato are textbook Maipo. This is fresh a touch choppy and not overly heavy. Flavors of cassis plum and vanilla carry over to the finish which is fresh and bolstered by fine natural acidity. Drink through 2022.,Chile,Cabernet Sauvignon
Dry spicy aromas of tobacco cedar vanilla and berry fruits come together nicely. This Maule Valley Cab is fresh and harmonious across the palate with nothing too pushy. Complex balsamic flavors of olives herbs dried berries turned earth and cocoa finish dry peppery and elegant. Drink through 2019.,Chile,Cabernet Sauvignon
Haven't seen this unusual combination of grapes in quite some time and you know what it's much better now than when we last saw it in 2001. This vintage has a nice almost magnetic nose while the palate is firm and well structured with cassis black cherry coffee and licorice flavors. It's a bit boring on the finish but the mouthfeel and length are just fine. Fruity rich and balanced. 325 cases made.,Chile,Red Blend
