Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
10,Italy,"Elegance, complexity and structure come together in this drop-dead gorgeous winethat ranks among Italy's greatest whites. It opens with sublime yellow spring flower, aromatic herb and orchard fruit scents. The creamy, delicious palate seamlessly combines juicy white peach, ripe pear and citrus flavors while white almond and savory mineral notes grace the lingering finish.",Ronco della Chiesa,95,80.0,Northeastern Italy,Collio,,Friulano,Borgo del Tiglio
17,Spain,"Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.",6 Años Reserva Premium,95,80.0,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
85,Italy,"Aromas of French oak, coconut, vanilla and spiced plum lead the nose on this powerfully structured wine. The oak sensations carry over to the warm palate along with cherry marinated in spirits, licorice and menthol. Bracing, close-grained tannins provide the framework and need time to unwind. Best after 2020.",Bricco Gattera,91,80.0,Piedmont,Barolo,,Nebbiolo,Cordero di Montezemolo
217,Italy,"Intense aromas of dried rose, leather, truffle and crushed berry lead the nose. The ripe, forward palate offers crushed black cherry, wild raspberry, cinnamon white pepper and sage alongside chewy tannins. Drink 2015–2022.",,93,80.0,Piedmont,Barolo,,Nebbiolo,Borgogno
227,US,"Chris Gorman is the winemaker for this pure, old vine Cabernet Sauvignon. Despite the high alcohol and the use of 100% new French oak, most of the old vine nuances are still there—a wild mix of heather and herb with berry and grain scents that weave together in the mouth. Brambly and tart, with strawberry and cherry fruit, it's a compelling wine that keeps you on your toes.",Collaboration Series V Ciel du Cheval Vineyard,93,80.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Force Majeure
316,US,"This pretty, floral wine made entirely from Chardonnay grapes from this site is both creamy and crisp. It offers impressive length, acidity and stoniness, accenting its focused green apple flavor. As it opens, it takes on a richer honey-like tone that adds further complexity and deliciousness.",Tognetti Vineyard Brut,94,80.0,California,Carneros,Napa-Sonoma,Sparkling Blend,Schramsberg
373,France,"With some firm structure, this wine also has great fruitiness. It offers plenty of raspberry fruits, good acidity and a solid texture of tannins. The acidity keeps the wine perfumed and fresh. Drink the wine from 2019.",Domaine du Pavillon Clos des Ursulines,90,80.0,Burgundy,Pommard,,Pinot Noir,Albert Bichot
382,US,"From a valley-floor site, this blend of 70% Zinfandel and 30% Cabernet Sauvignon delights in a depth of blackberry and cedar, reflecting well on both varieties. Firm tannin and restrained oak provide room for a touch of gun smoke and pencil lead, with a lengthy finish.",Rector Creek Vineyard,90,80.0,California,Napa Valley,Napa,Red Blend,Paraduxx
669,Italy,"This opens with aromas of plum, exotic spice and incense. The palate displays black cherry accented with white and black pepper, leather, licorice, espresso and balsamic notes but astringent tannins cut this short.",Mondoca di Bussia,88,80.0,Piedmont,Barolo,,Nebbiolo,Germano Angelo
701,Italy,"Leafy underbrush, scorched earth, porcini mushroom and dried plum aromas lead the nose. The firmly structured palate offers dried black cherry, raspberry confiture and licorice alongside assertive, tightly-packed tannins. Drink 2018–2024.",,90,80.0,Tuscany,Brunello di Montalcino,,Sangiovese,Lazzeretti
